Name,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01 Stockholm county,1427236.00,1453754.00,1477990.00,1486648.00,1485655.00,1485587.00,1489144.00,1493546.00,1500868.00,1512179.00,1519114.00,1524266.00,1528200.00,1535539.00,1544454.00,1551165.00,1562490.00,1578299.00,1593333.00,1606157.00,1617038.00,1629631.00,1641669.00,1654511.00,1669840.00,1686230.00,1708502.00,1725756.00,1744330.00,1762924.00,1783440.00,1803377.00,1823210.00,1838882.00,1850467.00,1860872.00,1872900.00,1889945.00,1918104.00,1949516.00,1981263.00,2019182.00,2054343.00,2091473.00,2127006.00,2163042.00,2198044.00,2231439.00,2269060.00,2308143.00,2344124.00,2377081.00,2391990.00,2415139.00,2440027.00,2454821.00,2473307.00
03 Uppsala county,209521.00,213733.00,217740.00,220916.00,223776.00,226502.00,228680.00,230028.00,233115.00,236091.00,239090.00,241722.00,243585.00,245398.00,247068.00,248103.00,249712.00,251852.00,254938.00,257739.00,260476.00,264738.00,268835.00,273918.00,278610.00,283006.00,286642.00,288475.00,289153.00,290473.00,291413.00,292415.00,294196.00,296627.00,298655.00,300495.00,302564.00,304367.00,319925.00,323270.00,327188.00,331898.00,335882.00,338630.00,341977.00,345481.00,348942.00,354164.00,361373.00,368971.00,376354.00,383713.00,388394.00,395026.00,400682.00,404589.00,407912.00
04 Södermanland county,241932.00,245343.00,248412.00,248696.00,248551.00,249184.00,250727.00,251913.00,251996.00,251933.00,252067.00,252026.00,252536.00,252191.00,251610.00,251000.00,250515.00,249701.00,249479.00,250073.00,251423.00,253363.00,255636.00,256818.00,257858.00,259199.00,259793.00,258700.00,257383.00,256870.00,256269.00,255890.00,256033.00,257220.00,259006.00,260380.00,261070.00,261895.00,263099.00,265190.00,267524.00,269053.00,270738.00,272563.00,274723.00,277569.00,280666.00,283712.00,288097.00,291341.00,294695.00,297540.00,299401.00,301801.00,302566.00,301944.00,301542.00
05 Östergötland county,374300.00,378437.00,382675.00,384025.00,385103.00,385808.00,386012.00,387088.00,389431.00,391337.00,392057.00,392390.00,392789.00,392694.00,392214.00,392310.00,392887.00,393585.00,394753.00,395580.00,396919.00,399506.00,403011.00,406100.00,408268.00,411212.00,415603.00,416443.00,415659.00,414360.00,412411.00,411320.00,411345.00,412363.00,413438.00,414897.00,415990.00,416303.00,417966.00,420809.00,423169.00,427106.00,429642.00,431075.00,433784.00,437848.00,442105.00,445661.00,452105.00,457496.00,461583.00,465495.00,467158.00,469704.00,471912.00,472298.00,472446.00
06 Jönköping county,303602.00,306998.00,309279.00,309454.00,310638.00,311339.00,313048.00,313758.00,314493.00,315853.00,315865.00,316631.00,317759.00,317513.00,316731.00,316502.00,316490.00,316525.00,317212.00,318404.00,320239.00,323065.00,325163.00,326653.00,326852.00,327920.00,329406.00,329595.00,328726.00,328068.00,328059.00,327266.00,327829.00,327824.00,327971.00,328659.00,329297.00,330179.00,331539.00,333610.00,335246.00,336044.00,336866.00,337896.00,339116.00,341235.00,344262.00,347837.00,352735.00,357237.00,360825.00,363599.00,365010.00,367064.00,369113.00,368856.00,370009.00
07 Kronoberg county,162422.00,164953.00,166734.00,167331.00,167429.00,168199.00,168826.00,169438.00,170319.00,171073.00,171434.00,172401.00,173691.00,174169.00,174021.00,174319.00,174265.00,173972.00,173853.00,174116.00,175427.00,176589.00,177882.00,178612.00,178961.00,179649.00,180747.00,180377.00,179655.00,179021.00,178078.00,177149.00,176639.00,176582.00,176978.00,177448.00,178285.00,178443.00,179635.00,180787.00,182224.00,183162.00,183940.00,184654.00,185887.00,187156.00,189128.00,191369.00,194628.00,197519.00,199886.00,201469.00,202263.00,203340.00,204335.00,203686.00,203351.00
08 Kalmar county,239155.00,240298.00,241024.00,240651.00,240180.00,240087.00,240395.00,240724.00,240969.00,241537.00,241340.00,241448.00,241581.00,241098.00,240823.00,240134.00,239380.00,238176.00,237417.00,237356.00,237781.00,239564.00,241102.00,241883.00,241912.00,242528.00,244057.00,243372.00,241896.00,240160.00,238104.00,236501.00,235391.00,234697.00,234627.00,234886.00,234496.00,233944.00,233776.00,233834.00,233397.00,233639.00,233536.00,233090.00,233548.00,233874.00,235598.00,237679.00,242301.00,243536.00,244670.00,245446.00,246010.00,247175.00,247711.00,246667.00,246352.00
09 Gotland county,53876.00,53977.00,53722.00,53720.00,53805.00,53950.00,54174.00,54400.00,54621.00,54791.00,54935.00,55261.00,55346.00,55623.00,55897.00,55987.00,56203.00,56144.00,56174.00,56269.00,56383.00,56840.00,57108.00,57383.00,57578.00,57751.00,58237.00,58120.00,57971.00,57791.00,57643.00,57428.00,57313.00,57412.00,57381.00,57535.00,57661.00,57488.00,57297.00,57122.00,57004.00,57221.00,57269.00,57308.00,57241.00,57161.00,57255.00,57391.00,58003.00,58595.00,59249.00,59686.00,60124.00,61001.00,61173.00,61029.00,60971.00
10 Blekinge county,150665.00,152373.00,153585.00,153960.00,154638.00,154634.00,155144.00,155336.00,154962.00,154565.00,154368.00,154135.00,153542.00,152628.00,152091.00,151884.00,151652.00,150959.00,150258.00,149600.00,149544.00,149960.00,150564.00,151168.00,151266.00,151853.00,153016.00,152737.00,151972.00,151692.00,151414.00,150625.00,150392.00,150017.00,149875.00,149889.00,150335.00,150696.00,151436.00,151900.00,152259.00,152591.00,153227.00,152979.00,152315.00,152757.00,154157.00,156253.00,158453.00,159371.00,159684.00,159606.00,159056.00,158937.00,158740.00,157973.00,157223.00
12 Skåne county,960711.00,971809.00,983753.00,991355.00,996197.00,999947.00,1007685.00,1012083.00,1013623.00,1017504.00,1019721.00,1022050.00,1023479.00,1023630.00,1024635.00,1025814.00,1027470.00,1030494.00,1033684.00,1039550.00,1047167.00,1058015.00,1068587.00,1078225.00,1086689.00,1093367.00,1105986.00,1111731.00,1114368.00,1116603.00,1120426.00,1123786.00,1129424.00,1136571.00,1145090.00,1152697.00,1160919.00,1169464.00,1184500.00,1199357.00,1214758.00,1231062.00,1243329.00,1252933.00,1263088.00,1274069.00,1288908.00,1303627.00,1324565.00,1344689.00,1362164.00,1377827.00,1389336.00,1402425.00,1414324.00,1421781.00,1428626.00
