Date,Blaenau Gwent,Bridgend,Caerphilly,Cardiff,Carmarthenshire,Ceredigion,Conwy,Denbighshire,Flintshire,Gwynedd,Isle of Anglesey,Merthyr Tydfil,Monmouthshire,Neath Port Talbot,Newport,Pembrokeshire,Powys,Rhondda Cynon Taf,Swansea,Torfaen,Vale of Glamorgan,Wrexham
1991,72666,129477,170615,296941,169725,65933,107951,89395,142036,115007,69123,59594,80209,138844,135479,112446,119703,234917,229743,90961,118053,124180
1992,72592,129796,170129,297429,169265,67536,107782,89119,143493,115426,69379,59764,80207,138496,135515,113146,120368,235202,229610,91188,117605,124627
1993,72521,130129,170243,299185,169255,68854,108142,89375,144049,115717,69772,59517,81637,138219,135271,112885,121072,235468,229349,90899,117050,124949
1994,72770,130063,169559,299085,169962,69937,108891,89572,144539,116330,69187,59346,83200,138597,135461,113086,121400,235147,228239,90928,116850,125298
1995,72569,129466,168186,300764,171060,70818,108940,89911,144844,117526,68426,58658,84315,137751,135140,112249,121843,235553,227765,90955,116347,125431
1996,72289,128667,167385,305345,171145,70609,107897,90623,144106,117486,68592,58132,85209,137327,134707,112141,123954,235369,227199,91268,116327,125527
1997,72031,127996,167532,307321,171534,71807,108174,90616,144643,117606,68109,57371,85209,136679,135241,111640,124604,236043,226764,91364,116950,125637
1998,71292,128652,167921,308601,172039,72518,108470,90951,146261,117384,67692,57148,83921,136085,137328,111814,125438,234474,225702,91355,118297,126178
1999,71028,128585,168566,310320,172329,74046,108322,91509,146824,116362,67978,56516,83980,135356,136615,111667,125632,233904,225080,91129,117944,126907
2000,70537,128224,169045,311443,172874,74942,108651,92525,147930,116699,67898,56218,84458,134834,136932,112538,126134,232370,224475,91214,119276,127653
2001,70000,128735,169546,310088,173652,75417,109674,93070,148629,116844,67806,56207,84984,134380,137642,113058,126398,231910,223463,90912,119277,128540
2002,69452,129741,170776,312021,174628,75500,110624,93478,148947,117344,67879,55996,85417,134931,138727,114146,127145,231795,224755,90700,120279,128595
2003,69228,131032,171363,313246,176133,75581,111248,93872,149176,118022,68140,55955,86605,136233,139121,115147,128295,232361,226350,90719,120980,128914
2004,69242,131947,172361,317099,177487,75775,112272,94010,149681,118721,68753,56020,87829,137144,139316,116428,129568,233971,228176,90516,122101,129005
2005,69188,132893,172777,321001,178229,75485,112374,93978,149890,118641,69095,56259,88611,137670,139617,117204,130210,234070,229347,90644,122877,129249
2006,69610,134164,173741,323766,179504,75342,113004,93983,150125,119070,69388,56627,89090,138323,140557,118278,131037,234493,230793,90820,123642,130311
2007,69685,135949,174987,328196,181314,75326,113778,94530,150816,119398,69700,57173,89592,138957,141376,119640,131982,234471,232460,90974,124732,131263
2008,69820,137175,176259,332790,182517,74971,114371,94739,151501,119746,69916,57688,90109,139481,142744,121134,132865,234724,234139,91094,125713,132371
2009,69850,137783,177159,337656,182846,74642,114623,94444,151985,120344,69884,58156,90557,139537,143753,121563,133090,234743,235601,91199,126162,133295
2010,69798,138471,178101,341402,183004,75217,114682,94152,152080,121155,69833,58493,91016,139638,144803,121974,132878,234459,237311,91060,126435,134009
2011,69812,139410,178782,345442,183961,75293,115326,93919,152666,121523,69913,58851,91508,139880,145785,122613,133071,234373,238691,91190,126679,135070
2012,69589,139985,178563,348084,184206,76215,115432,94119,152660,121439,69964,58869,91623,139694,146760,122621,133146,235271,239197,91199,126703,135589
2013,69186,140579,178236,349982,184252,76087,115313,94378,152906,120403,69880,58791,91822,139093,147586,122302,132719,235145,239237,90842,126458,135861
2014,68737,141333,178513,350949,184349,75197,115700,94670,153439,119796,69761,58859,91864,139439,148150,122148,132809,235284,239228,90866,126714,135983
2015,68395,142177,178269,351600,184404,73724,115380,94691,153688,119632,69415,58922,91867,139704,148948,121721,132945,235233,239354,90844,126261,135565
2016,68135,142887,178013,352982,184985,72900,115391,94723,154166,118958,68826,59247,92024,141000,150926,121438,132531,235567,239300,90730,127082,135354
2017,67829,143355,177610,354348,184984,72220,114855,94597,154587,118881,68617,59337,91791,141022,153234,121382,132460,236357,239266,90638,128377,135619
2018,67566,143583,177277,355125,185444,71291,114387,94596,154587,118129,68539,59349,91834,141342,155222,121194,131967,236685,239184,91130,129165,136244
2019,67382,144500,176735,357137,186125,70639,114196,94766,154592,117584,68278,59255,91730,141385,156773,121432,131556,237574,238707,91685,129802,135899
2020,67219,145434,176805,360287,187391,71421,114651,95558,155004,118180,68794,59194,92456,142308,158438,122572,132199,238039,238992,92337,131224,135980
2021,66989,145738,175999,359824,188172,70676,114788,96047,155045,117072,68937,58869,93163,141934,159687,123633,133521,237545,237897,92454,132491,135152
2022,66960,146135,176131,371104,189148,71873,114303,96602,155334,117997,69070,58881,93985,142204,161565,124365,133874,239235,242039,92863,133619,135389
2023,67356,146743,176437,383536,190083,73050,114410,97156,155812,119173,69291,58593,94572,142898,163628,125006,134439,241178,246742,93419,134733,136149
