Year,Groningen,Fryslân,Drenthe,Overijssel,Flevoland,Gelderland,Utrecht,Noord-Holland,Zuid-Holland,Zeeland,Noord-Brabant,Limburg,New South Wales,Victoria,Queensland,South Australia,Western Australia,Tasmania,Northern Territory,Australian Capital Territory,Stockholm county,Uppsala county,Södermanland county,Östergötland county,Jönköping county,Kronoberg county,Kalmar county,Gotland county,Blekinge county,Skåne county,Halland county,Västra Götaland county,Värmland county,Örebro county,Västmanland county,Dalarna county,Gävleborg county,Västernorrland county,Jämtland county,Västerbotten county,Norrbotten county
1942,430271,433541,252367,591063,,951527,497397,1701855,2171832,256131,1068755,631023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,432670,436786,261098,598904,,970296,503304,1694657,2162322,257922,1087390,643180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944,436936,444017,269284,612744,,1003125,513904,1660816,2121548,256459,1111659,657514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945,441157,452043,264875,620175,,1017876,523605,1671692,2122582,227596,1138513,667831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946,442462,453109,266524,623616,,1003481,524942,1692390,2161419,252483,1148409,671683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,447427,456623,269769,633558,,1019779,544656,1759499,2256454,258510,1168505,677623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,453057,460519,273800,644492,,1039025,556391,1794070,2308382,262589,1192640,691493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,457611,463442,277258,656047,,1057941,565662,1824305,2351669,265759,1219706,708287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,459819,465267,280798,670030,,1077612,573422,1842604,2382898,268609,1242638,727874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951,461802,467731,285079,682235,,1100976,584176,1874557,2424581,271669,1267244,745117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,462439,468069,287320,691473,,1118102,593303,1895242,2453465,273690,1289536,758817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953,463722,468642,290585,700816,,1132128,600516,1913158,2477790,275199,1309597,772528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954,465411,469943,293759,709769,,1149102,608972,1929620,2506576,274244,1332033,785732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955,465301,470227,296403,718430,,1166465,618077,1950244,2537647,275369,1354363,801135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,465694,470348,297291,728006,,1185290,628876,1974815,2570814,276558,1377662,817580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957,466090,469793,299294,738036,,1205044,639369,1994416,2600930,278429,1401248,833485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,467712,471153,301814,748337,,1223760,650304,2014446,2629499,280379,1425406,849870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959,471745,474744,308028,760020,,1250317,662847,2038196,2668158,283356,1456650,869326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,474657,478206,311196,770848,,1266885,676889,2054509,2697894,283721,1484671,882386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961,477685,479893,314424,783355,,1287825,686577,2073119,2726204,283914,1512787,894340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,481740,483162,319619,795635,,1314078,697450,2098514,2755724,284571,1543395,911568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963,485978,487061,324517,835494,,1339682,708885,2123904,2787124,285448,1575211,928596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964,491688,490976,329992,846944,,1359527,720595,2145059,2817303,287517,1605864,937486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,497472,495720,336207,860886,,1384459,733673,2163231,2847175,290178,1638795,953815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,502560,500935,342280,874493,,1410086,745892,2181454,2875628,292267,1670632,968739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,508173,506311,348001,887261,,1434439,758007,2200602,2902572,295374,1700866,980276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,511753,511330,354124,895916,,1456554,768715,2215876,2922450,298457,1725292,985738,,,,,,,,,1427236,209521,241932,374300,303602,162422,239155,53876,150665,960711,191606,1333196,284655,271864,255478,278996,293829,269516,134673,234447,259513
1969,514011,516446,359856,907035,,1479751,784418,2229911,2943588,301833,1753934,990562,,,,,,,,,1453754,213733,245343,378437,306998,164953,240298,53977,152373,971809,195546,1349898,284039,273787,258792,278087,292762,267359,132436,233543,256346
1970,517305,521751,366590,920882,,1505760,801285,2244456,2968670,305754,1787783,998570,,,,,,,,,1477990,217740,248412,382675,309279,166734,241024,53722,153585,983753,200055,1366708,284686,275490,261592,277056,293456,267403,131289,233133,255360
1971,522425,526749,372580,932946,,1533740,816369,2259955,2991735,310318,1819459,1012357,,,,,,,,,1486648,220916,248696,384025,309454,167331,240651,53720,153960,991355,203848,1373088,284246,275202,262692,277284,293601,267682,131832,232856,256078
1972,526555,532524,379595,945882,,1558334,827343,2273594,3013439,316124,1850495,1022354,,,,,,,,,1485655,223776,248551,385103,310638,167429,240180,53805,154638,996197,208276,1374869,283677,274230,261173,277453,292922,267620,132252,233353,257332
1973,530361,539222,386400,956343,,1580041,838435,2283414,3018905,319392,1879848,1030235,,,,,,,,,1485587,226502,249184,385808,311339,168199,240087,53950,154634,999947,212490,1376948,283246,273561,260074,278104,292021,267273,132542,233865,259067
1974,532649,547223,393739,966806,,1601045,849266,2282686,3018525,322891,1910347,1038253,,,,,,,,,1489144,228680,250727,386012,313048,168826,240395,54174,155144,1007685,216318,1380332,283476,273604,260132,279159,292760,267608,133044,234875,261548
1975,536106,553679,400883,977147,,1620884,857666,2284829,3024680,326604,1940817,1043786,,,,,,,,,1493546,230028,251913,387088,313758,169438,240724,54400,155336,1012083,219780,1384484,284249,273923,259921,281109,294412,268034,133433,236397,264386
1976,540062,560614,405924,985569,,1639997,867909,2295875,3048648,332286,1967261,1051620,,,,,,,,,1500868,233115,251996,389431,314493,170319,240969,54621,154962,1013623,222985,1386501,284529,273819,260164,283350,294627,268237,133752,237705,266113
1977,544264,566042,409874,992953,,1653516,873753,2299410,3049570,335624,1991176,1055619,,,,,,,,,1512179,236091,251933,391337,315853,171073,241537,54791,154565,1017504,225032,1389139,284708,274207,260330,284034,294412,268357,134189,239247,266598
1978,547706,572850,413051,1001266,,1668251,878734,2299535,3052934,340071,2011578,1060945,,,,,,,,,1519114,239090,252067,392057,315865,171434,241340,54935,154368,1019721,227175,1390181,284892,274268,259692,284490,294288,268110,134420,240601,266329
1979,551315,578203,415978,1009651,,1680629,885756,2299175,3063625,344388,2030920,1065483,,,,,,,,,1524266,241722,252026,392390,316631,172401,241448,55261,154135,1022050,229211,1392028,284615,274223,259670,285545,293959,267895,134653,241898,266983
1980,553709,583989,418479,1018208,,1694416,895464,2307646,3083555,348268,2051195,1069038,,,,,,,,,1528200,243585,252536,392789,317759,173691,241581,55346,153542,1023479,230924,1391774,284070,274356,259538,286968,294020,267935,134934,243856,267054
1981,556869,589252,421528,1027836,,1708860,907729,2315676,3106697,351662,2071885,1073403,,,,,,,,,1535539,245398,252191,392694,317513,174169,241098,55623,152628,1023630,232715,1390805,283175,273712,258566,286482,293657,267115,134945,244789,266589
1982,559135,592374,423627,1033789,,1719111,916694,2312266,3121471,353697,2085420,1077193,,,,,,,,,1544454,247068,251610,392214,316731,174021,240823,55897,152091,1024635,234339,1390269,282115,273128,257783,286278,292723,266038,134865,245055,265347
1983,560708,595248,424720,1038369,,1727487,923182,2308047,3129913,354863,2093969,1080516,,,,,,,,,1551165,248103,251000,392310,316502,174319,240134,55987,151884,1025814,236319,1390152,281205,272138,256976,285610,291497,264803,134946,245252,264457
1984,561532,597236,427336,1042077,,1735780,929401,2307447,3139189,355514,2103003,1083561,,,,,,,,,1562490,249712,250515,392887,316490,174265,239380,56203,151652,1027470,238347,1393219,280499,270961,255691,285113,290533,263598,134731,245181,263684
1985,561119,597648,429463,1044866,,1745301,936134,2311534,3151321,355403,2112971,1085666,,,,,,,,,1578299,251852,249701,393585,316525,173972,238176,56144,150959,1030494,240063,1397122,279183,270211,254761,283880,289153,262314,134190,245255,262300
1986,560029,598068,431997,998751,177334,1761492,944372,2322708,3164652,355781,2124656,1088331,,,,,,,,,1593333,254938,249479,394753,317212,173853,237417,56174,150258,1033684,242250,1403503,278861,269620,254423,283191,287691,261089,133543,245204,261039
1987,558378,599061,434038,1003915,185365,1771972,953957,2334209,3186249,355434,2139626,1091553,,,,,,,,,1606157,257739,250073,395580,318404,174116,237356,56269,149600,1039550,244377,1411372,279402,269341,254253,283330,286907,260332,133389,245703,260833
1988,556757,599104,436586,1009997,193739,1783610,965229,2352888,3208414,355501,2156280,1095424,,,,,,,,,1617038,260476,251423,396919,320239,175427,237781,56383,149544,1047167,247417,1418954,280694,270031,254847,284407,287004,259964,134116,247521,261536
1989,555200,599190,439066,1014949,202678,1794678,1004632,2365160,3200408,355585,2172604,1099622,,,,,,,,,1629631,264738,253363,399506,323065,176589,239564,56840,149960,1058015,250959,1431259,282375,271523,256510,286667,288223,260488,134789,250134,262838
1990,553862,599151,441028,1020424,211507,1804209,1015515,2376015,3219839,355947,2189481,1103960,,,,,,,,,1641669,268835,255636,403011,325163,177882,241102,57108,150564,1068587,254725,1441293,283110,272513,258487,289067,289294,261155,135726,251968,263735
1991,554604,600013,443510,1026325,221505,1816935,1026841,2397088,3245447,357454,2209047,1109841,,,,,,,,,1654511,273918,256818,406100,326653,178612,241883,57383,151168,1078225,257874,1448056,284187,273608,259438,290388,289339,261280,136009,253835,264834
1992,555226,601839,445596,1032418,232823,1828808,1037294,2421665,3271507,359205,2225331,1115485,,,,,,,,,1669840,278610,257858,408268,326852,178961,241912,57578,151266,1086689,261172,1455645,284691,274325,260096,290245,289190,260829,135910,255987,266089
1993,555397,603998,448256,1039083,243441,1839883,1047035,2440165,3295522,361195,2243546,1119942,,,,,,,,,1686230,283006,259199,411212,327920,179649,242528,57751,151853,1093367,264607,1464073,285220,275532,260932,290515,289612,260567,136073,258171,267092
1994,556607,607016,451409,1044648,253699,1851402,1056033,2457329,3313193,363867,2259779,1125187,,,,,,,,,1708502,286642,259793,415603,329406,180747,244057,58237,153016,1105986,268067,1477370,285498,276828,261753,291203,289654,260295,136301,259775,267648
1995,557995,609579,454864,1050389,262325,1864732,1063460,2463611,3325064,365846,2276207,1130050,,,,,,,,,1725756,288475,258700,416443,329595,180377,243372,58120,152737,1111731,269338,1482501,284011,276417,261101,289956,288509,258290,135584,260472,266011
1996,558113,612028,457316,1053966,272843,1876299,1070585,2468432,3332860,367354,2290424,1133669,,,,,,,,,1744330,289153,257383,415659,328726,179655,241896,57971,151972,1114368,270060,1485014,282147,275855,259987,288171,286789,256587,134561,259895,264320
1997,558124,615045,460817,1057944,281472,1886109,1079428,2474754,3344695,368426,2304094,1136199,,,,,,,,,1762924,290473,256870,414360,328068,179021,240160,57791,151692,1116603,271325,1485611,280178,275163,258541,285232,284636,254354,133143,259163,262317
1998,558017,618115,464672,1063527,293286,1895656,1088621,2486105,3359047,369949,2319262,1137935,,,,,,,,,1783440,291413,256269,412411,328059,178078,238104,57643,151414,1120426,272539,1486918,278313,274584,257661,282898,282226,251884,131766,257803,260473
